Name,H,B,C,D,E,F,G
Horornis_haddeni,0,0,0,0,0,0,1
Horornis_ruficapilla,0,0,0,0,0,0,1
Horornis_parens,0,0,0,0,0,0,1
Horornis_annae,0,0,0,0,0,0,1
Horornis_carolinae,0,0,0,0,0,0,1
Horornis_canturians,0,0,1,0,0,0,0
Horornis_diphone,0,0,1,0,0,0,0
Horornis_seebohmi,0,0,0,0,0,1,0
Horornis_acanthizoides,1,0,0,0,1,0,0
Horornis_brunnescens,0,1,0,0,0,0,0
Horornis_flavolivaceus,1,1,0,0,0,1,0
Horornis_fortipes,1,1,0,0,1,0,0
Tickellia_hodgsoni,1,1,0,0,0,1,0
Phyllergates_cucullatus,1,1,0,0,0,1,0
Cettia_brunnifrons,1,1,0,0,0,0,0
Cettia_castaneocoronata,1,1,0,0,0,1,0
Cettia_major,1,1,0,0,0,0,0
Cettia_cetti,0,0,1,0,0,0,0
Tesia_everetti,0,0,0,0,0,1,0
Tesia_superciliaris,0,0,0,0,0,1,0
Tesia_olivea,1,1,0,0,0,1,0
Tesia_cyaniventer,1,1,0,0,1,1,0
Hemitesia_neumanni,0,0,0,0,0,0,1
Hemitesia_pallidipes,1,1,0,0,0,1,0
Urosphena_squameiceps,0,0,1,0,0,0,0
Urosphena_whiteheadi,0,0,0,0,0,1,0
Abroscopus_albogularis,1,1,0,0,1,1,0
Abroscopus_schisticeps,1,1,0,0,0,1,0
Abroscopus_superciliaris,0,1,0,0,0,1,0
