state,range,color
1,H+A,red
2,B+A,dodgerblue
3,C+A,green4
4,D+A,skyblue1
5,E+A,darkorange
6,F+A,darkorchid1
7,G+A,gray58
8,HB+A,cyan
9,HC+A,green1
10,HD+A,honeydew
11,HE+A,chocolate
12,HF+A,lightslateblue
13,HG+A,khaki3
14,BC+A,cyan4
15,BD+A,dodgerblue4
16,BE+A,bisque
17,BF+A,aquamarine4
18,BG+A,darkolivegreen
19,CD+A,darkseagreen1
20,CE+A,darkseagreen4
21,CF+A,thistle
22,CG+A,goldenrod
23,DE+A,honeydew
24,DF+A,pink
25,DG+A,pink2
26,EF+A,indianred4
27,EG+A,khaki
28,FG+A,rosybrown2
29,HBC+A,aquamarine3
30,HBD+A,khaki2
31,HBE+A,khaki4
32,HBF+A,indianred3
33,HBG+A,honeydew
34,HCD+A,honeydew
35,HCE+A,greenyellow
36,HCF+A,honeydew3
37,HCG+A,orangered
38,HDE+A,honeydew
39,HDF+A,orangered3
40,HDG+A,honeydew
41,HEF+A,darksalmon
42,HEG+A,honeydew
43,HFG+A,honeydew
44,BCD+A,snow3
45,BCE+A,honeydew
46,BCF+A,moccasin
47,BCG+A,springgreen3
48,BDE+A,honeydew
49,BDF+A,thistle4
50,BDG+A,honeydew
51,BEF+A,snow4
52,BEG+A,honeydew
53,BFG+A,honeydew
54,CDE+A,honeydew
55,CDF+A,honeydew
56,CDG+A,gold3
57,CEF+A,gold4
58,CEG+A,orchid1
59,CFG+A,plum1
60,DEF+A,honeydew
61,DEG+A,honeydew
62,DFG+A,slateblue
63,EFG+A,honeydew
64,HBCD+A,honeydew
65,HBCE+A,yellow3
66,HBCF+A,slateblue1
67,HBCG+A,yellow
68,HBDE+A,honeydew
69,HBDF+A,plum3
70,HBDG+A,honeydew
71,HBEF+A,hotpink
72,HBEG+A,honeydew
73,HBFG+A,honeydew
74,HCDE+A,honeydew
75,HCDF+A,slateblue3
76,HCDG+A,honeydew
77,HCEF+A,darkcyan
78,HCEG+A,navy
79,HCFG+A,sienna
80,HDEF+A,rosybrown
81,HDEG+A,honeydew
82,HDFG+A,chocolate1
83,HEFG+A,salmon2
84,BCDE+A,honeydew
85,BCDF+A,honeydew
86,BCDG+A,darkolivegreen3
87,BCEF+A,honeydew2
88,BCEG+A,chartreuse
89,BCFG+A,honeydew
90,BDEF+A,honeydew
91,BDEG+A,honeydew
92,BDFG+A,chartreuse4
93,BEFG+A,honeydew
94,CDEF+A,rosybrown4
95,CDEG+A,honeydew
96,CDFG+A,royalblue
97,CEFG+A,honeydew
98,DEFG+A,royalblue2
99,HBCDE+A,royalblue4
100,HBCDF+A,yellow4
101,HBCDG+A,honeydew
102,HBCEF+A,darkgreen
103,HBCEG+A,turquoise
104,HBCFG+A,gold
105,HBDEF+A,darkolivegreen1
106,HBDEG+A,honeydew
107,HBDFG+A,turquoise2
108,HBEFG+A,seagreen4
109,HCDEF+A,turquoise4
110,HCDEG+A,honeydew
111,HCDFG+A,navajowhite3
112,HCEFG+A,thistle2
113,HDEFG+A,lightgoldenrod3
114,BCDEF+A,tomato
115,BCDEG+A,honeydew
116,BCDFG+A,darkorange3
117,BCEFG+A,honeydew
118,BDEFG+A,honeydew
119,CDEFG+A,honeydew
120,HBCDEF+A,peru
121,HBCDEG+A,honeydew
122,HBCDFG+A,salmon
123,HBCEFG+A,lightcoral
124,HBDEFG+A,olivedrab2
125,HCDEFG+A,mediumspringgreen
126,BCDEFG+A,honeydew
127,HBCDEFG+A,gray5
